player,minutes_played,goals,xg,assists,xa,passes,prog_passes,goals_p90,xg_p90,assists_p90,xa_p90,team
Juan Manuel Mata García,3182,6.0,5.866743938,5.0,0.0,1914.0,296.0,0.1697045883092394,0.1659355607856694,0.1414204902576995,0.0,Manchester United
Erik Pieters,3172,0.0,0.07677498,1.0,0.0,1956.0,346.0,0.0,0.0021783569356872,0.0283732660781841,0.0,Stoke City
Idrissa Gana Gueye,3160,0.0,1.086028215,1.0,0.0,1906.0,245.0,0.0,0.0309311833386075,0.0284810126582278,0.0,Aston Villa
Robert Brady,3147,3.0,3.1116774991,2.0,0.0,1608.0,422.0,0.0857959961868446,0.0889898236158246,0.0571973307912297,0.0,Norwich City
Virgil van Dijk,3142,3.0,2.999237515,0.0,0.0,1412.0,404.0,0.0859325270528326,0.0859106862985359,0.0,0.0,Southampton
Joe Hart,3141,0.0,0.0,0.0,0.0,848.0,582.0,0.0,0.0,0.0,0.0,Manchester City
Craig Cathcart,3137,1.0,0.5523564986,0.0,0.0,1050.0,390.0,0.0286898310487727,0.0158470146235256,0.0,0.0,Watford
David de Gea Quintana,3129,0.0,0.0,0.0,0.0,956.0,690.0,0.0,0.0,0.0,0.0,Manchester United
Riyad Mahrez,3128,17.0,12.16381277,10.0,0.0,1174.0,199.0,0.4891304347826087,0.3499818252237851,0.2877237851662404,0.0,Leicester City
Sadio Mané,3120,11.0,12.052078225,6.0,0.0,1043.0,109.0,0.3173076923076923,0.3476561026442308,0.173076923076923,0.0,Southampton
Danny Drinkwater,3112,2.0,1.7761880455,7.0,0.0,2033.0,433.0,0.0578406169665809,0.0513679062001928,0.2024421593830334,0.0,Leicester City
Christian Dannemann Eriksen,3111,6.0,5.1098074079,12.0,0.0,2041.0,361.0,0.1735776277724204,0.1478247080395371,0.3471552555448409,0.0,Tottenham Hotspur
Gareth McAuley,3105,1.0,0.84951885,0.0,0.0,847.0,347.0,0.0289855072463768,0.0246237347826086,0.0,0.0,West Bromwich Albion
Mesut Özil,3104,6.0,5.9662406854,19.0,0.0,2511.0,379.0,0.1739690721649484,0.172990226058634,0.5509020618556701,0.0,Arsenal
Petr Čech,3104,0.0,0.0,0.0,0.0,1036.0,744.0,0.0,0.0,0.0,0.0,Arsenal
Jack Frank Porteous Cork,3099,1.0,0.88613171,1.0,0.0,1746.0,247.0,0.0290416263310745,0.0257347060019361,0.0290416263310745,0.0,Swansea City
Neil Taylor,3095,0.0,0.1841475668,1.0,0.0,1639.0,246.0,0.0,0.0053548565466882,0.0290791599353796,0.0,Swansea City
Simon Mignolet,3084,0.0,0.0,0.0,0.0,934.0,550.0,0.0,0.0,0.0,0.0,Liverpool
Cheikhou Kouyaté,3083,5.0,5.447483423,2.0,0.0,1255.0,142.0,0.1459617255919559,0.1590248161109309,0.0583846902367823,0.0,West Ham United
Marc Albrighton,3081,2.0,2.36266696,7.0,0.0,1214.0,378.0,0.0584225900681596,0.0690165616358325,0.2044790652385589,0.0,Leicester City
Nathan Redmond,3077,6.0,2.6832608084,3.0,0.0,1084.0,171.0,0.1754956126096847,0.078483416560286,0.0877478063048423,0.0,Norwich City
Pape N''Diaye Souaré,3073,0.0,0.4408444208,1.0,0.0,1685.0,356.0,0.0,0.0129111610387243,0.0292873413602342,0.0,Crystal Palace
Nathaniel Edwin Clyne,3050,1.0,2.3672014983,0.0,0.0,1943.0,242.0,0.0295081967213114,0.0698518474908196,0.0,0.0,Liverpool
Kyle Walker,3021,1.0,0.903361597,2.0,0.0,1732.0,404.0,0.0297914597815292,0.0269124606852035,0.0595829195630585,0.0,Tottenham Hotspur
Patrick van Aanholt,3015,4.0,2.3924948018,4.0,0.0,1417.0,244.0,0.1194029850746268,0.0714177552776119,0.1194029850746268,0.0,Sunderland
Gareth Barry,3001,0.0,1.075521215,0.0,0.0,2098.0,450.0,0.0,0.032254884821726,0.0,0.0,Everton
Branislav Ivanović,2997,2.0,2.2640555568000003,2.0,0.0,1569.0,263.0,0.06006006006006,0.0679896563603603,0.06006006006006,0.0,Chelsea
Willian Borges da Silva,2996,5.0,3.7275560464,7.0,0.0,1745.0,377.0,0.1502002670226969,0.1119759827022696,0.2102803738317757,0.0,Chelsea
André Ayew Pelé,2980,12.0,7.5930270257,2.0,0.0,1098.0,99.0,0.3624161073825503,0.2293196081587248,0.0604026845637583,0.0,Swansea City
