player,minutes_played,goals,xg,assists,xa,passes,prog_passes,goals_p90,xg_p90,assists_p90,xa_p90,team
Mame Biram Diouf,2325,5.0,4.856480782,1.0,0.0,272.0,31.0,0.1935483870967742,0.1879928044645161,0.0387096774193548,0.0,Stoke City
Fabricio Coloccini,2322,1.0,1.049790611,0.0,0.0,856.0,229.0,0.0387596899224806,0.0406895585658914,0.0,0.0,Newcastle United
Michael Carrick,2308,0.0,0.305455375,0.0,0.0,1562.0,307.0,0.0,0.0119111714688041,0.0,0.0,Manchester United
Pedro Eliezer Rodríguez Ledesma,2304,7.0,5.978802856,2.0,0.0,1049.0,142.0,0.2734375,0.2335469865625,0.078125,0.0,Chelsea
Heung-Min Son,2299,4.0,3.851927903,1.0,0.0,455.0,27.0,0.156589821661592,0.15079317584602,0.039147455415398,0.0,Tottenham Hotspur
Tim Howard,2295,0.0,0.0,0.0,0.0,805.0,460.0,0.0,0.0,0.0,0.0,Everton
Yannick Bolasie Yala,2292,5.0,4.3318376392,3.0,0.0,653.0,118.0,0.1963350785340314,0.170098336617801,0.1178010471204188,0.0,Crystal Palace
Ander Herrera Agüera,2291,3.0,2.8249739285,2.0,0.0,1122.0,156.0,0.1178524661719773,0.1109767147817546,0.0785683107813181,0.0,Manchester United
Andrew Philip King,2285,2.0,2.099677588,1.0,0.0,488.0,80.0,0.0787746170678337,0.0827006489803063,0.0393873085339168,0.0,Leicester City
Michail Antonio,2282,8.0,5.604933744,3.0,0.0,708.0,164.0,0.3155127081507449,0.2210534780718668,0.1183172655565293,0.0,West Ham United
Jonas Olsson,2278,1.0,1.06203607,1.0,0.0,575.0,203.0,0.0395083406496927,0.0419592828358209,0.0395083406496927,0.0,West Bromwich Albion
John Michael Nchekwube Obinna,2240,0.0,0.914381269,1.0,0.0,1226.0,160.0,0.0,0.0367385331294642,0.0401785714285714,0.0,Chelsea
Kelechi Promise Iheanacho,2236,8.0,5.051744738,1.0,0.0,349.0,18.0,0.3220035778175313,0.2033349849821109,0.0402504472271914,0.0,Manchester City
Glen Johnson,2227,0.0,1.032534323,3.0,0.0,1205.0,174.0,0.0,0.0417279250426582,0.121239335428828,0.0,Stoke City
Oscar dos Santos Emboaba Júnior,2224,3.0,5.1099101077,3.0,0.0,1096.0,165.0,0.1214028776978417,0.2067859306173561,0.1214028776978417,0.0,Chelsea
Matteo Darmian,2224,1.0,0.181710034,0.0,0.0,1157.0,172.0,0.0404676258992805,0.0073533736780575,0.0,0.0,Manchester United
Kevin De Bruyne,2200,7.0,4.502264549,9.0,0.0,1314.0,211.0,0.2863636363636364,0.1841835497318181,0.3681818181818182,0.0,Manchester City
Winston Reid,2192,1.0,1.580104946,1.0,0.0,826.0,240.0,0.0410583941605839,0.0648765716879562,0.0410583941605839,0.0,West Ham United
Danny Rose,2173,1.0,0.8995505093,3.0,0.0,1433.0,254.0,0.0414173953060285,0.0372570390414173,0.1242521859180856,0.0,Tottenham Hotspur
Fabio Borini,2170,5.0,4.82200341,2.0,0.0,600.0,98.0,0.2073732718894009,0.1999909248387096,0.0829493087557603,0.0,Sunderland
Nathan Aké,2166,1.0,1.83155637,0.0,0.0,905.0,118.0,0.0415512465373961,0.0761034502770083,0.0,0.0,Watford
Jordan Veretout,2163,0.0,1.262154596,5.0,0.0,1090.0,204.0,0.0,0.0525168347850208,0.2080443828016643,0.0,Aston Villa
Gerard Deulofeu Lázaro,2161,2.0,1.5518586585,9.0,0.0,691.0,161.0,0.0832947709393799,0.0646308557450254,0.3748264692272096,0.0,Everton
Micah Richards,2155,1.0,1.712012016,1.0,0.0,783.0,146.0,0.0417633410672853,0.0714993417354988,0.0417633410672853,0.0,Aston Villa
Billy Jones,2150,1.0,1.821426968,0.0,0.0,847.0,122.0,0.041860465116279,0.0762457800558139,0.0,0.0,Sunderland
Philippe Coutinho Correia,2148,8.0,7.1282458561,5.0,0.0,1147.0,204.0,0.3351955307262569,0.2986695191103352,0.2094972067039106,0.0,Liverpool
Wayne Routledge,2147,2.0,2.734539462,1.0,0.0,722.0,89.0,0.0838379133674895,0.1146290412575686,0.0419189566837447,0.0,Swansea City
Wilfried Guemiand Bony,2142,4.0,7.280474771,3.0,0.0,398.0,15.0,0.1680672268907563,0.305902301302521,0.1260504201680672,0.0,Manchester City
Glyn Oliver Myhill,2142,0.0,0.0,0.0,0.0,661.0,574.0,0.0,0.0,0.0,0.0,West Bromwich Albion
Scott Sinclair,2139,2.0,3.115692275,0.0,0.0,354.0,17.0,0.0841514726507713,0.1310950466339411,0.0,0.0,Aston Villa
Manuel Lanzini,2139,5.0,3.446542672,2.0,0.0,1119.0,132.0,0.2103786816269284,0.1450158207012622,0.0841514726507713,0.0,West Ham United
Fernando Francisco Reges,2136,2.0,2.764655786,0.0,0.0,910.0,152.0,0.0842696629213483,0.1164883055898876,0.0,0.0,Manchester City
Gary Cahill,2133,2.0,1.083928988,0.0,0.0,743.0,135.0,0.0843881856540084,0.0457354003375527,0.0,0.0,Chelsea
Aaron Lennon,2130,5.0,1.952729209,0.0,0.0,516.0,42.0,0.2112676056338028,0.0825096848873239,0.0,0.0,Everton
James Tomkins,2121,0.0,0.5013403207,0.0,0.0,963.0,211.0,0.0,0.0212732809349363,0.0,0.0,West Ham United
Martin Olsson,2119,1.0,0.213022623,2.0,0.0,723.0,177.0,0.0424728645587541,0.0090476810146295,0.0849457291175082,0.0,Norwich City
Miguel Ángel Britos Cabrera,2103,0.0,0.652075664,0.0,0.0,772.0,284.0,0.0,0.0279062338373751,0.0,0.0,Watford
Arouna Koné,2092,5.0,4.59309574,3.0,0.0,592.0,37.0,0.2151051625239005,0.1975997211281071,0.1290630975143403,0.0,Everton
Marc Pugh,2091,3.0,2.683968362,2.0,0.0,555.0,58.0,0.1291248206599713,0.1155223111334289,0.0860832137733142,0.0,AFC Bournemouth
Jeffrey Schlupp,2088,1.0,2.136310598,2.0,0.0,557.0,113.0,0.043103448275862,0.0920823533620689,0.0862068965517241,0.0,Leicester City
Younes Kaboul,2086,0.0,0.7563836586,1.0,0.0,692.0,222.0,0.0,0.0326340025282837,0.0431447746883988,0.0,Sunderland
Cédric Ricardo Alves Soares,2083,0.0,0.294186632,2.0,0.0,1155.0,285.0,0.0,0.0127108962457993,0.0864138262121939,0.0,Southampton
Kurt Happy Zouma,2083,1.0,1.541715556,0.0,0.0,736.0,159.0,0.0432069131060969,0.0666127700624099,0.0,0.0,Chelsea
Jesse Lingard,2081,4.0,3.194561081,1.0,0.0,771.0,55.0,0.1729937530033637,0.1381597776501682,0.0432484382508409,0.0,Manchester United
Per Mertesacker,2079,0.0,1.236622578,0.0,0.0,1238.0,233.0,0.0,0.0535334449350649,0.0,0.0,Arsenal
Dejan Lovren,2070,0.0,1.504936694,0.0,0.0,1078.0,235.0,0.0,0.065432030173913,0.0,0.0,Liverpool
Àngel Rangel Zaragoza,2070,0.0,0.6835989456,0.0,0.0,1584.0,260.0,0.0,0.0297216932869565,0.0,0.0,Swansea City
Francis Joseph Coquelin,2068,0.0,0.2358031105,0.0,0.0,1104.0,144.0,0.0,0.0102622243447775,0.0,0.0,Arsenal
Thibaut Courtois,2062,0.0,0.0,0.0,0.0,638.0,436.0,0.0,0.0,0.0,0.0,Chelsea
Eliaquim Mangala,2047,0.0,0.7870409979999999,0.0,0.0,1011.0,178.0,0.0,0.0346036589252564,0.0,0.0,Manchester City
Bojan Krkíc Pérez,2042,7.0,4.8293865974,1.0,0.0,758.0,106.0,0.3085210577864838,0.2128524944985308,0.0440744368266405,0.0,Stoke City
Xherdan Shaqiri,2042,3.0,2.4633686411,5.0,0.0,835.0,202.0,0.1322233104799216,0.1085715855528893,0.2203721841332027,0.0,Stoke City
Stéphane Sessègnon,2039,2.0,1.250708888,2.0,0.0,638.0,93.0,0.0882785679254536,0.0552053947621383,0.0882785679254536,0.0,West Bromwich Albion
John Terry,2031,1.0,1.154272665,0.0,0.0,933.0,119.0,0.0443131462333825,0.0511494533973412,0.0,0.0,Chelsea
José Manuel Jurado Marín,2025,0.0,1.5850886101,0.0,0.0,1035.0,122.0,0.0,0.0704483826711111,0.0,0.0,Watford
DeAndre Yedlin,2016,0.0,0.4610948789999999,1.0,0.0,797.0,175.0,0.0,0.0205845928125,0.0446428571428571,0.0,Sunderland
Leon Britton,2007,0.0,0.127162849,0.0,0.0,1002.0,95.0,0.0,0.0057023699103139,0.0,0.0,Swansea City
Duncan Watmore,1994,3.0,1.994844704,1.0,0.0,174.0,15.0,0.1354062186559678,0.0900381260581745,0.0451354062186559,0.0,Sunderland
Alexander Banor Tettey,1993,2.0,0.8520836592,0.0,0.0,1097.0,163.0,0.090316106372303,0.0384784392012042,0.0,0.0,Norwich City
Pedro Mba Obiang Avomo,1982,0.0,0.325509128,1.0,0.0,478.0,83.0,0.0,0.0147809392129162,0.0454086781029263,0.0,West Ham United
Kevin Mirallas,1972,4.0,3.215618413,2.0,0.0,382.0,77.0,0.1825557809330628,0.1467574326419878,0.0912778904665314,0.0,Everton
Mamadou Sakho,1971,1.0,0.923896527,0.0,0.0,1244.0,195.0,0.045662100456621,0.0421870560273972,0.0,0.0,Liverpool
David Josué Jiménez Silva,1968,2.0,2.83500895,10.0,0.0,1488.0,191.0,0.0914634146341463,0.1296497995426829,0.4573170731707316,0.0,Manchester City
Jack Rodwell,1968,1.0,2.53102008,0.0,0.0,462.0,82.0,0.0457317073170731,0.1157478695121951,0.0,0.0,Sunderland
Martin Škrtel,1963,1.0,0.507316491,0.0,0.0,1146.0,224.0,0.0458481915435557,0.0232595436525725,0.0,0.0,Liverpool
Ryan Bennett,1952,0.0,0.829482414,0.0,0.0,606.0,201.0,0.0,0.0382445785143442,0.0,0.0,Norwich City
Modou Barrow,1948,1.0,0.6395988,3.0,0.0,235.0,25.0,0.0462012320328542,0.0295502525667351,0.1386036960985626,0.0,Swansea City
Rob Elliot,1940,0.0,0.0,0.0,0.0,688.0,583.0,0.0,0.0,0.0,0.0,Newcastle United
Paul Dummett,1939,1.0,0.335921315,0.0,0.0,880.0,199.0,0.0464156781846312,0.0155920156523981,0.0,0.0,Newcastle United
Chris Brunt,1934,0.0,0.613524584,3.0,0.0,851.0,253.0,0.0,0.0285507820889348,0.139607032057911,0.0,West Bromwich Albion
Jefferson Antonio Montero Vite,1929,0.0,1.821712751,2.0,0.0,492.0,64.0,0.0,0.08499437407465,0.093312597200622,0.0,Swansea City
José Luis Sanmartín Mato,1929,4.0,2.577868745,1.0,0.0,376.0,37.0,0.1866251944012441,0.120273813919129,0.046656298600311,0.0,Stoke City
Alex Oxlade-Chamberlain,1915,1.0,1.4757364623,0.0,0.0,495.0,90.0,0.0469973890339425,0.0693557606302872,0.0,0.0,Arsenal
Sebastian Prödl,1910,2.0,1.175452245,0.0,0.0,538.0,173.0,0.0942408376963351,0.0553878021204188,0.0,0.0,Watford
Ryan Mason,1888,1.0,2.742054695,0.0,0.0,543.0,101.0,0.0476694915254237,0.1307123530455508,0.0,0.0,Tottenham Hotspur
Tom Cleverley,1885,2.0,1.439410273,4.0,0.0,974.0,182.0,0.0954907161803713,0.0687251589230769,0.1909814323607427,0.0,Everton
Phil Jagielka,1885,0.0,0.660346579,0.0,0.0,1062.0,349.0,0.0,0.031528483877984,0.0,0.0,Everton
Gabriel Armando de Abreu,1878,1.0,1.0417122505,0.0,0.0,1074.0,177.0,0.047923322683706,0.0499223123242811,0.0,0.0,Arsenal
Steven Naismith,1868,4.0,3.209564593,1.0,0.0,506.0,24.0,0.1927194860813704,0.1546364097269807,0.0481798715203426,0.0,Norwich City
Steven Naismith,1868,4.0,3.209564593,1.0,0.0,506.0,24.0,0.1927194860813704,0.1546364097269807,0.0481798715203426,0.0,Everton
Charlie Adam,1858,1.0,0.9784929337,1.0,0.0,590.0,203.0,0.0484391819160387,0.0473973972190527,0.0484391819160387,0.0,Stoke City
Lewis Grabban,1830,1.0,2.694718444,0.0,0.0,327.0,27.0,0.0491803278688524,0.1325271365901639,0.0,0.0,AFC Bournemouth
Lewis Grabban,1830,1.0,2.694718444,0.0,0.0,327.0,27.0,0.0491803278688524,0.1325271365901639,0.0,0.0,Norwich City
Carles Gil de Pareja Vicent,1826,2.0,1.017689849,1.0,0.0,809.0,132.0,0.0985761226725082,0.0501599596987951,0.0492880613362541,0.0,Aston Villa
Graham Dorrans,1812,0.0,0.6564015583,1.0,0.0,761.0,146.0,0.0,0.0326027264056291,0.0496688741721854,0.0,Norwich City
Martín Gastón Demichelis,1792,0.0,0.301806504,0.0,0.0,567.0,94.0,0.0,0.0151576927232142,0.0,0.0,Manchester City
Valon Behrami,1787,0.0,0.019907001,1.0,0.0,519.0,46.0,0.0,0.0010025909848908,0.0503637381085618,0.0,Watford
Matt Jarvis,1779,1.0,0.992031861,1.0,0.0,367.0,61.0,0.0505902192242833,0.0501871093254637,0.0505902192242833,0.0,Norwich City
Matt Jarvis,1779,1.0,0.992031861,1.0,0.0,367.0,61.0,0.0505902192242833,0.0501871093254637,0.0505902192242833,0.0,West Ham United
Maya Yoshida,1760,1.0,0.52635944,0.0,0.0,567.0,144.0,0.0511363636363636,0.0269161077272727,0.0,0.0,Southampton
Glenn Murray,1760,3.0,4.633835496,0.0,0.0,202.0,13.0,0.1534090909090909,0.2369574969545454,0.0,0.0,AFC Bournemouth
Glenn Murray,1760,3.0,4.633835496,0.0,0.0,202.0,13.0,0.1534090909090909,0.2369574969545454,0.0,0.0,Crystal Palace
Vito Mannone,1760,0.0,0.0,0.0,0.0,633.0,538.0,0.0,0.0,0.0,0.0,Sunderland
Diafra Sakho,1757,5.0,7.352103891,1.0,0.0,360.0,38.0,0.2561183836084234,0.3766017929368241,0.0512236767216846,0.0,West Ham United
Connor Wickham,1742,5.0,4.750864303,3.0,0.0,409.0,50.0,0.2583237657864524,0.2454522314982778,0.1549942594718714,0.0,Crystal Palace
Carl Jenkinson,1730,2.0,0.7927971646,0.0,0.0,706.0,125.0,0.1040462427745664,0.0412437831294797,0.0,0.0,West Ham United
James Collins,1726,0.0,0.9503093917,0.0,0.0,555.0,150.0,0.0,0.0495526334026651,0.0,0.0,West Ham United
Jordon Mutch,1720,0.0,1.1795702252,0.0,0.0,357.0,68.0,0.0,0.0617216978302325,0.0,0.0,Crystal Palace
Jeremain Lens,1716,3.0,2.1020062906,3.0,0.0,474.0,128.0,0.1573426573426573,0.1102450851713286,0.1573426573426573,0.0,Sunderland
Ryan Shawcross,1713,0.0,0.974543074,0.0,0.0,590.0,160.0,0.0,0.0512019128196147,0.0,0.0,Stoke City
Tom Carroll,1697,1.0,0.212013576,0.0,0.0,361.0,61.0,0.0530347672362993,0.0112440906540954,0.0,0.0,Tottenham Hotspur
Rickie Lambert,1696,1.0,1.678473562,1.0,0.0,277.0,34.0,0.053066037735849,0.0890699413797169,0.053066037735849,0.0,West Bromwich Albion
Junior Stanislas,1688,3.0,2.4055857666,2.0,0.0,776.0,107.0,0.159952606635071,0.1282599046172985,0.1066350710900474,0.0,AFC Bournemouth
Harry Arter,1683,1.0,1.0289659574,0.0,0.0,1042.0,183.0,0.053475935828877,0.0550249175080213,0.0,0.0,AFC Bournemouth
Adam Johnson,1678,2.0,1.762098854,5.0,0.0,600.0,195.0,0.1072705601907032,0.094510665589988,0.268176400476758,0.0,Sunderland
Fraser Forster,1675,0.0,0.0,0.0,0.0,487.0,414.0,0.0,0.0,0.0,0.0,Southampton
Carlos Alberto Sánchez Moreno,1672,0.0,0.47976772,0.0,0.0,795.0,180.0,0.0,0.0258248174641148,0.0,0.0,Aston Villa
Leighton Baines,1668,2.0,1.1736909825,1.0,0.0,1023.0,212.0,0.1079136690647482,0.063328650134892,0.0539568345323741,0.0,Everton
Jordy Clasie,1663,0.0,0.540446676,0.0,0.0,828.0,156.0,0.0,0.0292484671316897,0.0,0.0,Southampton
Joe Allen,1641,2.0,2.123327118,1.0,0.0,413.0,55.0,0.1096892138939671,0.1164530412065813,0.0548446069469835,0.0,Liverpool
Jamaal Lascelles,1641,2.0,0.838523107,0.0,0.0,461.0,95.0,0.1096892138939671,0.0459884702193784,0.0,0.0,Newcastle United
Enner Remberto Valencia Lastra,1639,4.0,3.6387039443,2.0,0.0,259.0,22.0,0.2196461256863941,0.1998068059713239,0.109823062843197,0.0,West Ham United
Aly Cissokho,1629,0.0,0.0875349715,0.0,0.0,934.0,167.0,0.0,0.0048361862707182,0.0,0.0,Aston Villa
Papiss Demba Cissé,1614,3.0,3.6073283896,0.0,0.0,407.0,44.0,0.1672862453531598,0.2011521406840149,0.0,0.0,Newcastle United
Victor Moses,1588,1.0,1.837626853,2.0,0.0,306.0,30.0,0.0566750629722921,0.1041476176133501,0.1133501259445843,0.0,West Ham United
Joe Ledley,1585,1.0,0.355989402,0.0,0.0,396.0,53.0,0.056782334384858,0.0202139092618296,0.0,0.0,Crystal Palace
Ciaran Clark,1575,1.0,1.2308838428000002,0.0,0.0,584.0,149.0,0.0571428571428571,0.0703362195885714,0.0,0.0,Aston Villa
Siem Stefan de Jong,1572,0.0,0.752050002,1.0,0.0,200.0,17.0,0.0,0.0430562978244274,0.0572519083969465,0.0,Newcastle United
Bakary Sako,1567,2.0,2.1215525987,1.0,0.0,423.0,91.0,0.1148691767708998,0.121850500244416,0.0574345883854499,0.0,Crystal Palace
Costel Fane Pantilimon,1567,0.0,0.0,0.0,0.0,560.0,448.0,0.0,0.0,0.0,0.0,Sunderland
Ben Davies,1564,0.0,0.560651818,2.0,0.0,890.0,127.0,0.0,0.0322625726470588,0.1150895140664961,0.0,Tottenham Hotspur
Maarten Stekelenburg,1562,0.0,0.0,0.0,0.0,467.0,306.0,0.0,0.0,0.0,0.0,Southampton
Ashley Young,1555,1.0,0.846341729,2.0,0.0,776.0,149.0,0.0578778135048231,0.0489844087524115,0.1157556270096463,0.0,Manchester United
Bastian Schweinsteiger,1546,1.0,1.378185402,0.0,0.0,1086.0,165.0,0.0582147477360931,0.0802307155109961,0.0,0.0,Manchester United
Asmir Begović,1544,0.0,0.0,0.0,0.0,410.0,290.0,0.0,0.0,0.0,0.0,Chelsea
Marouane Fellaini-Bakkioui,1516,1.0,3.012999341,0.0,0.0,601.0,60.0,0.0593667546174142,0.1788719925395778,0.0,0.0,Manchester United
Joel Nathaniel Campbell Samuels,1503,3.0,1.756452317,2.0,0.0,350.0,38.0,0.1796407185628742,0.1051767854491017,0.1197604790419161,0.0,Arsenal
Cheik Ismaël Tioté,1488,0.0,0.045869157,0.0,0.0,850.0,144.0,0.0,0.002774344173387,0.0,0.0,Newcastle United
Sebastian Larsson,1479,0.0,0.4006977,0.0,0.0,269.0,60.0,0.0,0.0243832271805273,0.0,0.0,Sunderland
Juan Carlos Paredes Reasco,1471,0.0,0.127796528,0.0,0.0,380.0,75.0,0.0,0.0078189582053025,0.0,0.0,Watford
Jordan Brian Henderson,1449,2.0,2.206942035,2.0,0.0,1007.0,236.0,0.124223602484472,0.1370771450310559,0.124223602484472,0.0,Liverpool
Andros Townsend,1443,4.0,1.440451886,2.0,0.0,481.0,65.0,0.2494802494802495,0.0898410739708939,0.1247401247401247,0.0,Tottenham Hotspur
Andros Townsend,1443,4.0,1.440451886,2.0,0.0,481.0,65.0,0.2494802494802495,0.0898410739708939,0.1247401247401247,0.0,Newcastle United
James Morrison,1442,3.0,2.450218271,2.0,0.0,615.0,88.0,0.1872399445214979,0.1529262443758668,0.1248266296809986,0.0,West Bromwich Albion
Marco van Ginkel,1440,0.0,0.519662764,0.0,0.0,387.0,64.0,0.0,0.03247892275,0.0,0.0,Stoke City
Sebastián Coates Nión,1387,0.0,0.809585872,1.0,0.0,417.0,148.0,0.0,0.0525326088536409,0.0648882480173035,0.0,Sunderland
Ben Foster,1375,0.0,0.0,0.0,0.0,408.0,360.0,0.0,0.0,0.0,0.0,West Bromwich Albion
Mathieu Flamini,1361,0.0,0.919225688,0.0,0.0,627.0,72.0,0.0,0.060786415811903,0.0,0.0,Arsenal
Jack Grealish,1355,1.0,0.704957433,0.0,0.0,342.0,41.0,0.066420664206642,0.0468237409372693,0.0,0.0,Aston Villa
Fabian Delph,1351,2.0,0.3297079417,0.0,0.0,471.0,52.0,0.1332346410066617,0.0219642596247224,0.0,0.0,Manchester City
Lamine Koné,1351,2.0,1.6360862857,1.0,0.0,405.0,122.0,0.1332346410066617,0.108991684465581,0.0666173205033308,0.0,Sunderland
Rhu-endly Martina,1347,1.0,0.125135943,1.0,0.0,581.0,120.0,0.0668151447661469,0.0083609761469933,0.0668151447661469,0.0,Southampton
Kieran Gibbs,1341,1.0,0.674481988,0.0,0.0,219.0,36.0,0.0671140939597315,0.0452672475167785,0.0,0.0,Arsenal
Eunan O''Kane,1339,0.0,0.561858429,1.0,0.0,369.0,75.0,0.0,0.0377649429499626,0.0672143390589992,0.0,AFC Bournemouth
Adlène Guédioura,1338,0.0,0.312132211,2.0,0.0,298.0,81.0,0.0,0.0209954402017937,0.1345291479820627,0.0,Watford
Dwight Gayle,1330,3.0,3.10514001,0.0,0.0,154.0,18.0,0.2030075187969925,0.2101222563157894,0.0,0.0,Crystal Palace
Marc Muniesa Martínez,1321,0.0,0.056767401,0.0,0.0,558.0,122.0,0.0,0.0038675746328538,0.0,0.0,Stoke City
Santiago Cazorla González,1314,0.0,1.7842006869999998,3.0,0.0,1300.0,211.0,0.0,0.1222055265068493,0.2054794520547945,0.0,Arsenal
Divock Okoth Origi,1305,5.0,2.3073988329,1.0,0.0,173.0,4.0,0.3448275862068965,0.1591309539931034,0.0689655172413793,0.0,Liverpool
Faustino Marcos Alberto Rojo,1303,0.0,0.291408441,1.0,0.0,902.0,166.0,0.0,0.0201279813430544,0.0690713737528779,0.0,Manchester United
Abdul Rahman Baba,1300,0.0,0.369237156,1.0,0.0,651.0,62.0,0.0,0.0255625723384615,0.0692307692307692,0.0,Chelsea
Gilbert Gianelli Imbula Wanga,1289,2.0,0.7735615092,0.0,0.0,779.0,103.0,0.1396431342125678,0.054011276825446,0.0,0.0,Stoke City
Steven Fletcher,1278,4.0,2.261517854,0.0,0.0,294.0,27.0,0.2816901408450704,0.1592618207042253,0.0,0.0,Sunderland
Brendan Joel Zibusiso Galloway,1271,0.0,0.938793719,1.0,0.0,527.0,39.0,0.0,0.0664763451691581,0.07081038552321,0.0,Everton
Luis Antonio Valencia Mosquera,1270,0.0,0.1862707734,3.0,0.0,709.0,89.0,0.0,0.0132002910283464,0.2125984251968504,0.0,Manchester United
Vincent Kompany,1268,2.0,0.750381515,0.0,0.0,679.0,193.0,0.1419558359621451,0.0532605176261829,0.0,0.0,Manchester City
Mario Suárez Mata,1261,0.0,0.4204956549999999,0.0,0.0,427.0,75.0,0.0,0.0300115852101506,0.0,0.0,Watford
Gaël Clichy,1254,0.0,0.0493425829999999,1.0,0.0,839.0,126.0,0.0,0.0035413337081339,0.0717703349282296,0.0,Manchester City
Kolo Habib Touré,1246,1.0,0.29085575,0.0,0.0,457.0,83.0,0.0722311396468699,0.0210088422953451,0.0,0.0,Liverpool
Gabriel Imuetinyan Agbonlahor,1223,1.0,1.435095347,2.0,0.0,233.0,17.0,0.0735895339329517,0.1056079977350776,0.1471790678659035,0.0,Aston Villa
Mauro Matías Zárate,1213,4.0,1.935043989,0.0,0.0,336.0,62.0,0.2967848309975268,0.1435729258120362,0.0,0.0,West Ham United
Nikica Jelavić,1208,1.0,1.8327274987,1.0,0.0,78.0,2.0,0.0745033112582781,0.1365442672872516,0.0745033112582781,0.0,West Ham United
Nathan Dyer,1206,1.0,0.621348127,1.0,0.0,90.0,6.0,0.0746268656716418,0.0463692632089552,0.0746268656716418,0.0,Leicester City
Nathan Dyer,1206,1.0,0.621348127,1.0,0.0,90.0,6.0,0.0746268656716418,0.0463692632089552,0.0746268656716418,0.0,Swansea City
Joel Robles Blázquez,1203,0.0,0.0,0.0,0.0,475.0,347.0,0.0,0.0,0.0,0.0,Everton
Stephen Ireland,1196,0.0,0.383392195,1.0,0.0,176.0,29.0,0.0,0.0288505832357859,0.0752508361204013,0.0,Stoke City
Martin Kelly,1194,0.0,0.019187449,0.0,0.0,540.0,99.0,0.0,0.0014462901256281,0.0,0.0,Crystal Palace
Robert Kenedy Nunes do Nascimento,1192,1.0,0.428224582,0.0,0.0,323.0,42.0,0.0755033557046979,0.0323323929362416,0.0,0.0,Chelsea
Matt Targett,1180,0.0,0.144222356,1.0,0.0,555.0,106.0,0.0,0.0110000102033898,0.0762711864406779,0.0,Southampton
Daniel Andre Sturridge,1179,8.0,5.1249343954,1.0,0.0,327.0,39.0,0.6106870229007634,0.3912163660610687,0.0763358778625954,0.0,Liverpool
Bryan Oviedo,1167,0.0,0.2923534634999999,1.0,0.0,571.0,93.0,0.0,0.0225465396015424,0.0771208226221079,0.0,Everton
Patrick Bamford,1161,0.0,1.042446711,0.0,0.0,96.0,2.0,0.0,0.0808098225581395,0.0,0.0,Norwich City
Patrick Bamford,1161,0.0,1.042446711,0.0,0.0,96.0,2.0,0.0,0.0808098225581395,0.0,0.0,Crystal Palace
Éderzito António Macedo Lopes,1160,0.0,0.395401042,0.0,0.0,85.0,9.0,0.0,0.0306776670517241,0.0,0.0,Swansea City
Florian Thauvin,1156,0.0,0.408411334,0.0,0.0,216.0,50.0,0.0,0.0317967301557093,0.0,0.0,Newcastle United
Pablo Javier Zabaleta Girod,1155,0.0,0.094444591,1.0,0.0,722.0,74.0,0.0,0.0073593187792207,0.0779220779220779,0.0,Manchester City
Jan Kirchhoff,1150,0.0,1.002113455,0.0,0.0,569.0,127.0,0.0,0.0784262703913043,0.0,0.0,Sunderland
Benik Afobe,1142,4.0,1.948932968,0.0,0.0,224.0,12.0,0.3152364273204904,0.1535936664798599,0.0,0.0,AFC Bournemouth
Ruben Loftus-Cheek,1141,1.0,1.369049881,0.0,0.0,248.0,14.0,0.0788781770376862,0.1079881588869412,0.0,0.0,Chelsea
Wahbi Khazri,1135,2.0,0.7885470373,1.0,0.0,421.0,136.0,0.158590308370044,0.0625279589048458,0.079295154185022,0.0,Sunderland
James Grant Chester,1130,0.0,0.0,0.0,0.0,404.0,78.0,0.0,0.0,0.0,0.0,West Bromwich Albion
Juan Miguel Jiménez López,1117,0.0,0.426554524,0.0,0.0,51.0,3.0,0.0,0.0343687620053715,0.0,0.0,Southampton
Calum Chambers,1116,0.0,0.1861007049999999,0.0,0.0,190.0,27.0,0.0,0.0150081213709677,0.0,0.0,Arsenal
Tommy Elphick,1112,1.0,0.43302065,0.0,0.0,462.0,93.0,0.0809352517985611,0.0350466353417266,0.0,0.0,AFC Bournemouth
Tetchi Jores Charlemagne Ulrich Okore,1092,0.0,0.0,0.0,0.0,344.0,105.0,0.0,0.0,0.0,0.0,Aston Villa
Callum Wilson,1088,5.0,3.2849409890000003,0.0,0.0,143.0,9.0,0.4136029411764706,0.2717322509283089,0.0,0.0,AFC Bournemouth
Emmanuel Emenike,1088,0.0,1.810002222,0.0,0.0,153.0,4.0,0.0,0.1497244485110294,0.0,0.0,West Ham United
Chung-Yong Lee,1086,1.0,0.165622008,0.0,0.0,193.0,33.0,0.0828729281767955,0.0137255807734806,0.0,0.0,Crystal Palace
Samir Nasri,1080,2.0,1.920093709,2.0,0.0,437.0,43.0,0.1666666666666666,0.1600078090833333,0.1666666666666666,0.0,Manchester City
Loïc Rémy,1072,1.0,1.647004704,0.0,0.0,103.0,7.0,0.083955223880597,0.1382746486567164,0.0,0.0,Chelsea
Callum McManaman,1064,0.0,0.520520779,1.0,0.0,99.0,11.0,0.0,0.0440290132612782,0.0845864661654135,0.0,West Bromwich Albion
Ritchie De Laet,1063,1.0,0.122346265,0.0,0.0,332.0,75.0,0.0846660395108184,0.010358573706491,0.0,0.0,Leicester City
